id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20285803,roeselare,house,house,589000,6,324,1,0,0,1,,0,,324,810,Good,0,0
20286767,awans,house,house,699000,5,295,1,0,0,1,40,1,324,659,930,As new,4,1
20269974,ronse,house,town-house,295000,3,252,1,0,0,1,21,1,120,393,220,Just renovated,2,0
20267628,oudenaarde,house,house,399000,3,216,0,1,0,1,,0,,216,257,Good,2,0
20268027,habay-marbehan,house,mixed-use-building,410000,3,468,1,0,1,1,,1,352,820,652,Good,2,0
20268771,wilrijk,house,town-house,499000,6,250,1,0,0,1,7,1,115,372,279,As new,3,0
20315720,halle,house,house,265000,3,160,0,0,0,1,,0,,160,450,To be done up,2,0
20315236,ganshoren,house,house,269000,3,136,1,0,0,1,,0,,136,67,To renovate,2,0
20316038,geraardsbergen,house,house,269000,3,155,1,0,0,1,20,1,170,345,250,Good,2,0
20311536,sint-kruis,house,house,297000,4,158,0,0,0,0,,0,,158,310,,0,0
20314270,mariakerke,house,house,300000,4,307,1,0,0,0,,1,225,532,425,To renovate,2,1
20312175,kortemark,house,house,390000,3,145,0,0,0,1,,0,,145,392,Good,4,1
20312375,gent,house,house,499000,4,169,0,0,0,1,,0,,169,130,Good,4,0
20315886,gistel,house,house,550000,5,216,0,0,0,0,,0,,216,1806,Good,4,0
10968435,lanaye,house,house,229000,3,150,0,0,0,1,,1,115,265,475,,3,0
20313336,schaerbeek,house,house,375000,5,200,1,0,0,1,10,1,30,240,100,To be done up,2,1
20313333,kampenhout,apartment,duplex,420000,3,168,1,0,0,1,25,0,,193,0,Good,2,1
20277297,braine-l%27alleud,house,house,595000,5,320,1,0,0,1,30,0,,350,185,Good,2,0
20313329,oudenaarde,house,house,375000,5,235,1,0,0,1,,1,50,285,140,As new,2,1
20313269,heist-op-den-berg,house,house,425000,3,130,0,0,0,1,,0,,130,617,Just renovated,3,0
20313267,ukkel,apartment,apartment,299000,2,67,1,0,0,1,16,0,,83,0,Good,3,1
20313264,sint-niklaas,house,house,599000,3,240,1,0,1,1,30,1,200,470,443,Just renovated,3,0
20313263,nazareth,apartment,penthouse,547000,3,146,1,0,0,1,14,0,,160,0,As new,2,1
20313262,marchienne-au-pont,house,house,155000,2,117,1,0,0,1,10,0,,127,71,Good,2,1
20313046,woluwe-saint-lambert,apartment,apartment,265000,1,63,1,0,0,0,,0,,63,0,To be done up,3,1
20313037,enghien,house,house,425000,3,,0,0,0,0,,0,,0,821,To renovate,4,0
20313035,antwerpen,apartment,apartment,319000,2,,1,0,0,1,3,0,,3,0,Good,2,0
20313034,kampenhout,other,country-cottage,549000,4,276,1,0,0,1,,0,,276,15000,To be done up,4,0
20313030,moerbeke,house,house,470000,4,,0,0,0,1,1,1,1,2,241,,3,0
20313029,hever,house,house,359000,2,120,1,0,0,0,,0,,120,310,,3,0
20313028,avelgem,apartment,apartment,539000,3,196,1,0,0,1,30,0,,226,0,As new,2,1
20313020,brecht,apartment,ground-floor,289000,2,109,0,0,0,0,,0,,109,0,Good,2,0
20313018,huy,house,house,179000,3,99,1,0,0,1,21,0,,120,250,Good,3,0
20313017,uccle,apartment,apartment,799000,3,180,1,0,0,1,28,1,90,298,0,As new,2,1
20306569,seraing,house,house,329000,5,202,1,0,0,1,,1,241,443,374,Good,2,0
20306745,bornem,house,house,409000,3,175,1,0,0,0,,0,,175,0,Good,0,0
20305973,blaasveld,house,villa,679000,4,,0,0,0,1,,0,,0,1000,As new,4,0
20304175,hove,house,house,695000,6,277,0,0,1,0,,1,920,1197,1082,Good,4,1
20303720,antwerpen,house,house,775000,3,408,1,0,0,1,,0,,408,120,To be done up,2,0
20307837,seraing,apartment,apartment-block,779000,,,1,0,0,0,,0,,0,1130,Good,3,0
20287002,izegem,house,house,169000,4,156,0,0,0,0,,0,,156,261,To renovate,0,0
20290246,antwerpen,house,mixed-use-building,209000,1,54,1,0,0,0,,0,,54,432,Good,2,0
20285823,roeselare,house,house,329000,3,172,1,0,0,1,,0,,172,315,Good,0,0
20287769,de-pinte,house,house,765000,3,215,1,0,0,1,,1,521,736,651,Good,0,0
20287655,maldegem,house,villa,889000,3,222,0,0,0,1,,0,,222,4700,As new,4,0
20267303,fleron,house,house,229000,3,145,1,0,0,1,50,1,200,395,330,Good,3,1
20268057,oupeye,house,house,269000,2,80,1,0,0,1,25,1,30,135,144,Just renovated,3,1
20210853,sombreffe,house,house,324000,4,135,1,0,0,0,,1,340,475,340,Just renovated,3,0
20316037,geraardsbergen,house,house,139000,2,115,1,0,0,1,4,0,,119,50,Good,2,0
20314357,soignies,house,house,160000,4,171,1,0,0,0,,1,540,711,641,Good,3,0
20315395,geluwe,house,house,175000,2,102,0,0,0,1,,0,,102,168,Good,0,0
20315222,assebroek,house,house,219000,2,80,0,0,0,0,,0,,80,769,Good,4,0
20315221,assebroek,house,house,229000,2,80,0,0,0,0,,0,,80,960,Good,4,0
