id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20297223,meulebeke,house,house,407600,4,229,0,0,0,1,,0,,229,245,Good,0,0
20297277,meulebeke,house,house,407700,4,230,0,0,0,1,,0,,230,259,Good,0,0
20297276,meulebeke,house,house,409600,4,239,0,0,0,1,,0,,239,270,Good,0,0
20297275,meulebeke,house,house,409700,4,237,0,0,0,1,,0,,237,256,Good,0,0
20297284,meulebeke,house,house,412900,4,175,0,0,0,1,,0,,175,463,Good,0,0
20297282,meulebeke,house,house,414600,4,175,0,0,0,1,,0,,175,485,Good,0,0
20297280,meulebeke,house,house,418900,3,192,0,0,0,1,,0,,192,420,Good,0,0
20297278,meulebeke,house,house,443900,3,175,0,0,0,1,,0,,175,586,Good,0,0
20297279,meulebeke,house,house,451200,4,186,0,0,0,1,,0,,186,586,Good,0,0
20297224,meulebeke,house,house,477500,3,192,0,0,0,1,,0,,192,586,Good,0,0
20296053,mechelen,apartment,apartment,682000,2,161,0,0,0,1,25,0,,186,0,,0,0
20296047,mechelen,apartment,apartment,685500,2,162,0,0,0,1,25,0,,187,0,,0,0
20296055,mechelen,apartment,apartment,702000,2,166,0,0,0,1,24,0,,190,0,,0,0
20296056,mechelen,apartment,apartment,717500,2,172,0,0,0,1,32,0,,204,0,,0,0
20296049,mechelen,apartment,apartment,738000,2,177,0,0,0,1,25,0,,202,0,,0,0
20296048,mechelen,apartment,apartment,741750,2,173,0,0,0,1,40,0,,213,0,,0,0
20296052,mechelen,apartment,apartment,787500,2,186,0,0,0,1,22,0,,208,0,,0,0
20296050,mechelen,apartment,apartment,827750,2,197,0,0,0,1,31,0,,228,0,,0,0
20296054,mechelen,apartment,penthouse,877500,3,212,0,0,0,1,50,0,,262,0,,0,0
20296051,mechelen,apartment,penthouse,897500,3,220,0,0,0,1,40,0,,260,0,,0,0
20295958,wetteren,house,house,421273,3,145,0,0,0,0,,1,1,146,388,,3,0
20294647,woluwe-saint-pierre,apartment,flat-studio,315000,,46,1,0,0,1,11,1,44,101,0,As new,0,0
20294631,woluwe-saint-pierre,apartment,flat-studio,320000,,46,1,0,0,1,12,0,,58,0,,0,0
20294642,woluwe-saint-pierre,apartment,apartment,430000,1,73,1,0,0,1,14,1,28,115,0,As new,0,0
20294646,woluwe-saint-pierre,apartment,apartment,440000,1,73,1,0,0,1,14,1,28,115,0,,0,0
20294632,woluwe-saint-pierre,apartment,apartment,440000,1,73,1,0,0,1,14,0,,87,0,,0,0
20294619,woluwe-saint-pierre,apartment,apartment,495000,2,94,1,0,0,1,24,0,,118,0,,0,0
20294651,woluwe-saint-pierre,apartment,apartment,495000,2,95,1,0,0,1,43,1,94,232,0,,0,0
20294613,woluwe-saint-pierre,apartment,apartment,545000,2,91,1,0,0,1,14,0,,105,0,,0,0
20294658,woluwe-saint-pierre,apartment,apartment,555000,2,91,1,0,0,1,14,0,,105,0,,0,0
20294640,woluwe-saint-pierre,apartment,apartment,565000,2,93,1,0,0,1,24,0,,117,0,,0,0
20294628,woluwe-saint-pierre,apartment,apartment,570000,2,91,1,0,0,1,14,0,,105,0,,0,0
20294621,woluwe-saint-pierre,apartment,apartment,580000,2,93,1,0,0,1,20,0,,113,0,,0,0
20294666,woluwe-saint-pierre,apartment,apartment,605000,2,93,1,0,0,1,24,0,,117,0,,0,0
20294620,woluwe-saint-pierre,apartment,apartment,630000,2,93,1,0,0,1,206,0,,299,0,,0,0
20294638,woluwe-saint-pierre,apartment,apartment,650000,2,110,1,0,0,1,30,1,82,222,0,As new,0,0
20294637,woluwe-saint-pierre,apartment,apartment,650000,2,110,1,0,0,1,24,0,,134,0,,0,0
20294663,woluwe-saint-pierre,apartment,apartment,650000,2,110,1,0,0,1,24,0,,134,0,,0,0
20294625,woluwe-saint-pierre,apartment,apartment,650000,2,107,1,0,0,1,21,0,,128,0,,0,0
20294643,woluwe-saint-pierre,apartment,apartment,660000,2,109,1,0,0,1,48,1,43,200,0,As new,0,0
20294615,woluwe-saint-pierre,apartment,apartment,665000,2,110,1,0,0,1,24,0,,134,0,,0,0
20294617,woluwe-saint-pierre,apartment,apartment,680000,2,110,1,0,0,1,24,0,,134,0,,0,0
20294634,woluwe-saint-pierre,apartment,apartment,685000,2,107,1,0,0,1,21,0,,128,0,,0,0
20294665,woluwe-saint-pierre,apartment,apartment,695000,2,110,1,0,0,1,24,0,,134,0,,0,0
