Id,Locality,Type,SubType,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Sale_Type
20294186,Tielt,House,house,325000,5,216.0,True,False,False,False,0.0,False,0.0,216,396,Good,0,False,Private
20295616,Scheldewindeke,House,villa,645000,4,230.0,True,False,True,True,0.0,False,0.0,230,1100,Good,3,False,Private
20295510,Halle,House,house,689000,6,292.0,True,False,False,True,25.0,True,1050.0,1367,2482,Good,4,False,Private
20257259,Wavre,House,house,650000,4,262.0,True,False,False,True,40.0,True,215.0,517,2363,Good,4,True,Private
20308134,Gistel,House,house,189000,2,136.0,False,False,False,False,0.0,True,92.0,228,184,To renovate,2,False,Private
20305892,Herzele,House,house,219000,3,131.0,False,False,False,True,0.0,False,0.0,131,2260,To renovate,4,False,Private
20308132,Torhout,Other,bungalow,239000,3,170.0,False,False,False,False,0.0,True,630.0,800,800,To renovate,1,False,Private
20308641,Liegechenee,House,house,249000,3,120.0,True,False,False,True,20.0,True,65.0,205,145,As new,2,False,Private
20307244,Gentgentbrugge,House,house,539000,3,140.0,True,False,False,True,30.0,False,0.0,170,98,Just renovated,2,True,Private
20306523,Kortrijk,House,house,595000,4,211.0,False,False,False,False,0.0,False,0.0,211,236,As new,0,False,Private
20313881,Antwerpen,Apartment,apartment,210000,2,93.0,True,False,False,True,12.0,False,0.0,105,0,Not Known,2,False,Private
20313882,Antwerpen,Apartment,apartment,215000,2,93.0,True,False,False,True,12.0,False,0.0,105,0,Not Known,2,False,Private
20313880,Harelbeke,Apartment,ground-floor,349000,3,114.0,False,False,False,True,40.0,True,88.0,242,0,Good,3,True,Private
20313878,Maldegem,House,house,309000,4,147.0,True,False,False,True,0.0,False,0.0,147,752,Not Known,3,True,Private
20313877,Kruibeke,Apartment,apartment,329000,3,89.0,False,False,False,True,22.0,False,0.0,111,0,Good,2,True,Private
20313875,Wuustwezel,House,house,649000,3,315.0,False,False,False,True,0.0,False,0.0,315,347,Not Known,3,True,Private
20313873,Mons,Apartment,apartment,150000,2,80.0,True,False,False,True,0.0,False,0.0,80,0,Good,2,False,Private
20313659,Knokkeheist,Apartment,apartment,699000,3,101.0,True,False,False,True,0.0,False,0.0,101,0,As new,2,True,Private
20313871,Warnetonkomenwaasten,House,house,145000,2,97.0,False,False,False,False,0.0,False,0.0,97,128,Not Known,3,False,Private
20313868,Eupen,House,villa,575000,5,392.0,False,False,False,True,40.0,False,0.0,432,3063,To be done up,4,True,Private
20313864,Bruxelles,Apartment,apartment,395000,2,95.0,True,False,False,True,8.0,False,0.0,103,0,Good,2,False,Private
20313863,Charleroi,House,house,289000,3,165.0,True,False,False,True,0.0,True,494.0,659,899,Good,3,True,Private
20061189,Chapellelezherlaimont,House,house,325000,3,160.0,True,False,False,True,15.0,True,30.0,205,170,As new,3,True,Private
20313861,Grezdoiceaunethen,House,house,250000,3,230.0,True,False,False,True,0.0,False,0.0,230,983,To renovate,4,False,Private
20121636,Corroylegrand,Other,farmhouse,449000,4,198.0,True,False,False,True,10.0,True,160.0,368,836,To be done up,4,True,Private
